,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
4846,1422981,"June 15, 2019",Louisiana,Shreveport,2500 block of Hollywood Ave,0,4,View Incident View Source,"32.4570365, -93.77755979999999",32.4570365,-93.77755979999999
4847,1420933,"June 12, 2019",North Carolina,Charlotte,305 N Graham St,1,3,View Incident View Source,"35.2326744, -80.8444375",35.2326744,-80.8444375
4848,1419305,"June 11, 2019",Colorado,Aurora,12500 block of E Kansas Pl,0,4,View Incident View Source,"39.6944251, -104.842459",39.6944251,-104.842459
4849,1420432,"June 11, 2019",Georgia,Savannah,6900 Block of Damascus Rd,2,2,View Incident View Source,"32.0044661, -81.0727251",32.0044661,-81.0727251
4850,1418533,"June 09, 2019",Ohio,Cleveland,17218 Tarkington Ave,1,3,View Incident View Source,"41.4292685, -81.5616993",41.4292685,-81.5616993
4851,1418548,"June 09, 2019",New York,Buffalo,2081 Niagara St,0,4,View Incident View Source,"42.9411261, -78.90535220000001",42.9411261,-78.90535220000001
4852,1418457,"June 09, 2019",Tennessee,Henning,265 N Main St,1,3,View Incident View Source,"35.673603, -89.572743",35.673603,-89.572743
4853,1418180,"June 08, 2019",Washington,White Swan,5151 Medicine Valley Rd,5,2,View Incident View Source,"46.4225286, -120.823627",46.4225286,-120.823627
4854,1417570,"June 08, 2019",Illinois,Chicago,3500 block of W North Ave,0,4,View Incident View Source,"41.910373, -87.714219",41.910373,-87.714219
4855,1417716,"June 07, 2019",Texas,Austin,8220 TX-71,0,5,View Incident View Source,"30.2475924, -97.8863259",30.2475924,-97.8863259
4856,1416374,"June 06, 2019",Illinois,Chicago,2500 block of N Lake Shore Dr,1,3,View Incident View Source,"41.9284979, -87.6321816",41.9284979,-87.6321816
4857,1415399,"June 05, 2019",California,Santa Rosa,828 W 9th Street,0,4,View Incident View Source,"38.440738, -122.734969",38.440738,-122.734969
4858,1412419,"June 01, 2019",South Carolina,Allendale,473 Main St S,0,5,View Incident View Source,"33.0038021, -81.31506739999999",33.0038021,-81.31506739999999
4859,1411598,"June 01, 2019",Illinois,Chicago,300 block of East Chicago Ave,0,4,View Incident View Source,"41.8971279, -87.6175245",41.8971279,-87.6175245
4860,1411408,"June 01, 2019",Virginia,Portsmouth,1100 block of Mt Vernon Ave,1,3,View Incident View Source,"36.8363657, -76.33598239999999",36.8363657,-76.33598239999999
4861,1412243,"June 01, 2019",Illinois,Chicago,5600 block of West Madison St,0,4,View Incident View Source,"41.8807263, -87.7650676",41.8807263,-87.7650676
4862,1411963,"June 01, 2019",Georgia,Atlanta,12 Broad Street,0,5,View Incident View Source,"33.7547072, -84.391403",33.7547072,-84.391403
4863,1412430,"June 01, 2019",Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,View Incident View Source,"32.842935, -83.69167159999999",32.842935,-83.69167159999999
4864,1410442,"May 31, 2019",Virginia,Virginia Beach,2405 Courthouse Drive,13,4,View Incident View Source,"36.7510164, -76.0574123",36.7510164,-76.0574123
4865,1411661,"May 31, 2019",California,West Covina,306 N Hollow Ave,1,3,View Incident View Source,"34.0754405, -117.936319",34.0754405,-117.936319
4866,1410329,"May 30, 2019",Illinois,Robbins,14000 block of Grace Ave,0,5,View Incident View Source,"41.6383, -87.7058314",41.6383,-87.7058314
4867,1408289,"May 29, 2019",Texas,Cleveland,26311 TX-321,3,2,View Incident View Source,"30.3255657, -95.0500946",30.3255657,-95.0500946
4868,1409255,"May 29, 2019",Louisiana,Reserve,300 block of Homewood Place,1,3,View Incident View Source,"30.0686267, -90.54504209999999",30.0686267,-90.54504209999999
4869,1407941,"May 27, 2019",Missouri,Saint Louis,5900 block of Goodfellow Blvd,2,2,View Incident View Source,"38.7134198, -90.2547828",38.7134198,-90.2547828
4870,1406330,"May 27, 2019",District of Columbia,Washington,1200 block of Sumner Rd SE,0,5,View Incident View Source,"38.8611047, -76.9972245",38.8611047,-76.9972245
4871,1407189,"May 27, 2019",New Jersey,Trenton,100 block of Walnut St,1,5,View Incident View Source,"40.2209606, -74.74892",40.2209606,-74.74892
4872,1405445,"May 26, 2019",District of Columbia,Washington,3509 Wheeler Rd SE,1,3,View Incident View Source,"38.839294, -76.994089",38.839294,-76.994089
4873,1405749,"May 26, 2019",Virginia,La Crosse,800 block of Alvis Road,0,5,View Incident View Source,"36.6091459, -78.027849",36.6091459,-78.027849
4874,1406070,"May 26, 2019",California,Stockton,600 block of E Oak St,1,3,View Incident View Source,"37.959817, -121.2848589",37.959817,-121.2848589
4875,1404417,"May 25, 2019",New Jersey,Trenton,225 Brunswick Ave,0,9,View Incident View Source,"40.228236, -74.761387",40.228236,-74.761387
4876,1404580,"May 25, 2019",Michigan,Detroit,3400 block of Devonshire,3,2,View Incident View Source,"42.3901533, -82.93441059999999",42.3901533,-82.93441059999999
4877,1405196,"May 25, 2019",Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,View Incident View Source,"36.79987060000001, -76.39959",36.79987060000001,-76.39959
4878,1405317,"May 25, 2019",Maryland,Baltimore,500 block of N Belnord Ave,0,4,View Incident View Source,"39.297176, -76.57885999999999",39.297176,-76.57885999999999
4879,1405221,"May 25, 2019",Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,View Incident View Source,"35.4968358, -97.4944349",35.4968358,-97.4944349
4880,1400095,"May 20, 2019",Oklahoma,Tulsa,8118 E 16th St,2,2,View Incident View Source,"36.1383481, -95.8856563",36.1383481,-95.8856563
4881,1400146,"May 20, 2019",Louisiana,Alexandria,1900 block of Bacon Street,1,4,View Incident View Source,"31.2863527, -92.4558442",31.2863527,-92.4558442
4882,1400561,"May 20, 2019",Ohio,Columbus,2424 Sullivant Ave,0,4,View Incident View Source,"39.9456086, -83.0634663",39.9456086,-83.0634663
4883,1399820,"May 19, 2019",Oregon,Portland,226 SE Madison St,0,5,View Incident View Source,"45.5127145, -122.6630883",45.5127145,-122.6630883
4884,1399017,"May 18, 2019",Mississippi,Cascilla,700 Leverette Ln,1,4,View Incident View Source,"33.8848664, -90.1201993",33.8848664,-90.1201993
4885,1398553,"May 18, 2019",Alabama,Atmore,100 Martin Luther King Avenue,1,8,View Incident View Source,"31.0320918, -87.4793681",31.0320918,-87.4793681
4886,1398538,"May 18, 2019",Indiana,Muncie,2410 W. Euclid Ave,1,6,View Incident View Source,"40.2073182, -85.4147845",40.2073182,-85.4147845
4887,1398593,"May 18, 2019",California,Long Beach,1616 West Pacific Coast Highway,1,4,View Incident View Source,"33.7896607, -118.2142617",33.7896607,-118.2142617
4888,1398584,"May 18, 2019",Iowa,Cedar Rapids,70 Kirkwood Ct SW,2,2,View Incident View Source,"41.9216506, -91.65544249999999",41.9216506,-91.65544249999999
4889,1400934,"May 18, 2019",Nebraska,Omaha,2825 Y St,0,4,View Incident View Source,"41.1974141, -95.9558886",41.1974141,-95.9558886
4890,1399346,"May 18, 2019",North Carolina,Winston Salem (Winston-salem),4252 Cody Drive,2,4,View Incident View Source,"36.1501727, -80.2511464",36.1501727,-80.2511464
4891,1398876,"May 17, 2019",California,Sacramento,7326 Stockton Blvd,1,3,View Incident View Source,"38.4915827, -121.4281185",38.4915827,-121.4281185
4892,1397521,"May 16, 2019",Ohio,Cleveland,9500 Cardwell Ave,0,4,View Incident View Source,"41.4347721, -81.61740089999999",41.4347721,-81.61740089999999
4893,1396491,"May 15, 2019",Louisiana,Saint Rose,100 block of St. Rose Ave,0,4,View Incident View Source,"29.9458519, -90.3167828",29.9458519,-90.3167828
4894,1395560,"May 14, 2019",California,Los Angeles,1248 W 47th St,0,4,View Incident View Source,"34.0003559, -118.2973649",34.0003559,-118.2973649
4895,1393960,"May 13, 2019",Louisiana,New Orleans,2100 block of 4th St,0,4,View Incident View Source,"29.9355721, -90.0882232",29.9355721,-90.0882232
4896,1394330,"May 13, 2019",Missouri,Saint Louis,4047 Shreve Ave,4,1,View Incident View Source,"38.6773654, -90.2433956",38.6773654,-90.2433956
4897,1392923,"May 11, 2019",Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,View Incident View Source,"40.9813323, -75.47401669999999",40.9813323,-75.47401669999999
4898,1391971,"May 10, 2019",Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,View Incident View Source,"39.9836125, -75.1712474",39.9836125,-75.1712474
4899,1392313,"May 10, 2019",Missouri,Saint Louis,4000 block of Ashland Ave,0,6,View Incident View Source,"38.662662, -90.22655309999999",38.662662,-90.22655309999999
4900,1390764,"May 08, 2019",Indiana,Indianapolis,Roache St and Rader St,0,4,View Incident View Source,"39.8046292, -86.1780773",39.8046292,-86.1780773
4901,1389220,"May 07, 2019",Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,View Incident View Source,"39.55595950000001, -104.997907",39.55595950000001,-104.997907
4902,1386962,"May 05, 2019",New Jersey,North Bergen,2033 45th Street,1,4,View Incident View Source,"40.7846455, -74.0352157",40.7846455,-74.0352157
4903,1387170,"May 05, 2019",California,Oceano,1001 Cabrillo Hwy,0,6,View Incident View Source,"35.1124953, -120.6255738",35.1124953,-120.6255738
4904,1386510,"May 04, 2019",Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,View Incident View Source,"38.6713502, -90.26379279999999",38.6713502,-90.26379279999999
4905,1386929,"May 04, 2019",Indiana,Indianapolis,101 W Maryland St,0,4,View Incident View Source,"39.7651971, -86.16046960000001",39.7651971,-86.16046960000001
4906,1387245,"May 04, 2019",California,Stockton,5105 Holiday Dr,1,4,View Incident View Source,"38.0012191, -121.2972424",38.0012191,-121.2972424
4907,1386575,"May 04, 2019",Delaware,Wilmington,W 27th St and Tatnall St,0,4,View Incident View Source,"39.75579099999999, -75.5356448",39.75579099999999,-75.5356448
4908,1386481,"May 03, 2019",Texas,Dallas,5400 Cedar Springs Rd,1,3,View Incident View Source,"32.823074, -96.828402",32.823074,-96.828402
4909,1386085,"May 03, 2019",Maryland,Baltimore,1900 block of Ramsay St,0,5,View Incident View Source,"39.2833043, -76.64717999999999",39.2833043,-76.64717999999999
4910,1385642,"May 03, 2019",Maryland,Baltimore,2500 block of E Biddle St,0,4,View Incident View Source,"39.3049337, -76.58251709999999",39.3049337,-76.58251709999999
4911,1384553,"May 01, 2019",Massachusetts,Boston,32 Windermere Rd,1,3,View Incident View Source,"42.31385050000001, -71.0626363",42.31385050000001,-71.0626363
