,incident_id,incident_date,state,city_county,address,number_killed,number_injured,latitude,longitude
197,1876552,2020-12-12,Maryland,Hyattsville (Landover),8600 block of Old Ardmore Rd,2,2,38.93945670000001,-76.8598724
198,1877628,2020-12-10,Georgia,Tifton,700 block of 17 1/2 St,0,4,31.44265339999999,-83.5222497
199,1877122,2020-12-10,Mississippi,Jackson,1805 Hospital Dr,0,5,32.28321090000001,-90.254083
200,1908063,2020-12-08,West Virginia,Williamsburg,611 Flynns Creek Rd,6,0,37.992511,-80.5092729
201,1873798,2020-12-08,Louisiana,Lacombe,28399 Palmer Dr,2,3,30.2967327,-89.9348512
202,1870827,2020-12-06,Texas,Venus,6100 N FM 157,0,6,32.8223939,-97.09978009999999
203,1871627,2020-12-05,California,Hayward,25000 block of Eldridge Ave,1,3,37.6467852,-122.0898179
204,1870840,2020-12-05,North Carolina,Autryville,10101 Gip Rd,0,6,34.922166,-78.62882
205,1869748,2020-12-04,Illinois,Chicago,4400 block of W Adams St,0,4,41.878113,-87.73608899999999
206,1867006,2020-12-01,Pennsylvania,Morrisville,1 Makefield Rd,1,3,40.1971928,-74.8163511
207,1866100,2020-11-30,Alaska,Palmer,335 N Valley Way,4,0,61.6096222,-149.1080032
208,1864683,2020-11-29,Mississippi,Grenada,Highway 8 East,0,11,33.7690722,-89.80840549999999
209,1865110,2020-11-29,Tennessee,Memphis,3492 W Metropolitan Cir,2,3,35.0531554,-89.9407189
210,1863726,2020-11-28,South Carolina,Aiken,1695 Richland Ave E,1,10,33.55217750000001,-81.69678019999999
211,1864205,2020-11-28,South Carolina,Conway,3800 block of Golden Key Rd,0,5,33.9272726,-79.0373499
212,1864177,2020-11-28,Louisiana,New Orleans,7001 Lawrence Rd,0,4,30.0302837,-89.9961143
213,1862947,2020-11-27,Georgia,Macon,425 Cherry St,1,5,32.8353724,-83.62617569999999
214,1863099,2020-11-27,Ohio,Toledo,3257 Stickney Ave,0,6,41.682713,-83.527114
215,1862603,2020-11-26,Nevada,Henderson,870 E Lake Mead Pkwy,1,5,36.0542619,-114.9676079
216,1859110,2020-11-22,New Jersey,Trenton,Stuyvesant Ave and Hoffman Ave,0,4,40.234874,-74.781331
217,1859390,2020-11-22,New York,Brooklyn,15 Albany Ave,1,6,40.680288,-73.938125
218,1858455,2020-11-22,Illinois,Chicago,700 block of E 101st St,1,3,41.7110837,-87.6053773
219,1859186,2020-11-22,Louisiana,New Orleans,9232 Chef Menteur Hwy,1,3,30.0157568,-89.9779367
220,1857439,2020-11-21,Illinois,Chicago,W 79th St and S Justine St,0,6,41.7503653,-87.66223
221,1857947,2020-11-21,Arizona,Phoenix,35th Ave and Earll Dr,1,4,33.4840608,-112.1343537
222,1858965,2020-11-21,Nebraska,Bellevue,1307 Cornhusker Rd,2,2,41.1580153,-95.93415999999999
223,1857040,2020-11-20,Wisconsin,Milwaukee (Wauwatosa),2500 N Mayfair Rd,0,8,43.06383530000001,-88.0445613
224,1856417,2020-11-19,Florida,Haines City,422 N 15th St,1,3,28.1136448,-81.6197664
225,1855276,2020-11-18,Texas,Houston,11614 Manor Park Dr,3,2,29.7484157,-95.5825078
226,1856338,2020-11-18,South Carolina,Florence,500 block of Gaillard St,0,4,34.1903663,-79.75688439999999
227,1854207,2020-11-17,Tennessee,Jackson,Honey Bear Cove,0,4,35.6542734,-88.8660921
228,1854149,2020-11-16,Florida,Miami,200 block of S Biscayne River Dr,0,4,25.9136509,-80.2039167
229,1853615,2020-11-16,Illinois,Chicago,700 block of S Pulaski Rd,0,4,41.8724081,-87.7256253
230,1854076,2020-11-16,Illinois,Chicago,2700 block of S State St,0,4,41.8443137,-87.6269348
231,1852831,2020-11-15,Louisiana,Shreveport,300 block of Douglas St,0,5,32.5113849,-93.7554916
232,1853089,2020-11-15,Georgia,Jonesboro,Museum Cir,2,2,33.5422739,-84.3691207
233,1852604,2020-11-14,South Carolina,Sumter,1008 Marilyn Ave,3,1,33.94728,-80.34737609999999
234,1852853,2020-11-14,Missouri,Fulton,1915 N Bluff St,0,4,38.8680365,-91.9448195
235,1852161,2020-11-14,Ohio,Cincinnati,400 block of Kings Run Dr,0,4,39.176421,-84.509031
236,1852363,2020-11-14,California,Riverside,La Sierra Avenue and Tin Mine Road,2,3,33.8524585,-117.4627322
237,1850981,2020-11-12,Florida,Tampa,1200 block of E Palifox St,2,4,27.9873252,-82.44701309999999
238,1850693,2020-11-12,North Carolina,Gastonia,1225 Union Rd,0,6,35.2471617,-81.1745345
239,1849308,2020-11-10,Florida,Tampa,N 50th St and Sligh Ave,1,7,28.0106992,-82.4019225
240,1847840,2020-11-09,Texas,Fort Worth,5310 E Rosedale St,0,4,32.7304501,-97.2416714
241,1846712,2020-11-08,Virginia,Virginia Beach,3700 block of Whitney Ct,0,4,36.7976045,-76.1057833
242,1846494,2020-11-08,Tennessee,Nashville,2nd Ave N and Commerce St,0,8,36.1632454,-86.7760574
243,1846764,2020-11-07,Kansas,Ogden,225 Riley Ave,0,4,39.1165137,-96.7099975
244,1845690,2020-11-07,South Carolina,Rock Hill,241 Albright Rd,1,3,34.9131297,-81.0083647
245,1845477,2020-11-06,Louisiana,New Orleans,8622 Belfast St,2,2,29.96179,-90.12301599999999
246,1844573,2020-11-05,Ohio,Toledo,2125 Parkwood Ave,3,2,41.6629005,-83.5577247
247,1843360,2020-11-04,Missouri,Jefferson City,1299 Lafayette St,0,4,38.5615261,-92.1753258
248,1842362,2020-11-03,Nevada,Henderson,1445 Stonelake Cove Ave,4,1,36.0354601,-115.0488233
249,1842421,2020-11-02,Ohio,Mansfield,136 Sturges Ave,0,5,40.7550142,-82.5242701
250,1840534,2020-11-01,South Carolina,Hollywood,7800 block of White Point Rd,0,6,32.6536039,-80.32512609999999
251,1840265,2020-11-01,Indiana,Evansville,664 E Illinois St,0,4,37.979329,-87.554693
252,1840364,2020-11-01,Oklahoma,Oklahoma City,10601 S Western Ave,1,3,35.3621154,-97.53098279999999
253,1841432,2020-11-01,North Carolina,Winston Salem (Winston-salem),3900 block of Glen Hi Rd,1,3,36.0623367,-80.15319459999999
254,1840600,2020-11-01,Arizona,Tucson,2500 block of E Aerospace Parkway,2,2,32.0854783,-110.9481184
255,1840310,2020-11-01,New Jersey,Atlantic City,2721 Arctic Ave,1,4,39.3568472,-74.4464488
256,1839628,2020-10-31,California,Sacramento,2800 block of Normington Dr,0,4,38.6157093,-121.4800287
257,1839576,2020-10-31,Washington,Sumner,127th Ave E and Valley Ave E,0,5,47.2040035,-122.2602684
258,1839462,2020-10-31,California,Anaheim,1210 S State College Blvd,0,4,33.8172318,-117.8888389
259,1840544,2020-10-31,Nevada,North Las Vegas,3700 block of Iverson Ln,0,4,36.2265835,-115.171399
